key_id,tournament_id,tournament_name,team_id,team_name,team_code,performance,y_axis
1,WC-1930,1930 FIFA Men's World Cup,T-84,Uruguay,URY,champions,8
2,WC-1934,1934 FIFA Men's World Cup,T-41,Italy,ITA,champions,8
3,WC-1938,1938 FIFA Men's World Cup,T-30,France,FRA,quater-finals,2
4,WC-1950,1950 FIFA Men's World Cup,T-09,Brazil,BRA,runners-up,6
5,WC-1954,1954 FIFA Men's World Cup,T-75,Switzerland,CHE,quarter-final,2
6,WC-1958,1958 FIFA Men's World Cup,T-74,Sweden,SWE,runners-up,6
7,WC-1962,1962 FIFA Men's World Cup,T-13,Chile,CHL,third place,4
8,WC-1966,1966 FIFA Men's World Cup,T-28,England,ENG,champions,8
9,WC-1970,1970 FIFA Men's World Cup,T-46,Mexico,MEX,quater-finals,2
10,WC-1974,1974 FIFA Men's World Cup,T-86,West Germany,DEU,champions,8
11,WC-1978,1978 FIFA Men's World Cup,T-03,Argentina,ARG,champions,8
12,WC-1982,1982 FIFA Men's World Cup,T-73,Spain,ESP,second group stage,-2
13,WC-1986,1986 FIFA Men's World Cup,T-46,Mexico,MEX,quater-finals,2
14,WC-1990,1990 FIFA Men's World Cup,T-41,Italy,ITA,third place,4
15,WC-1991,1991 FIFA Women's World Cup,T-14,China,CHN,quarter-finals,100
16,WC-1994,1994 FIFA Men's World Cup,T-83,United States,USA,round of 16,0
17,WC-1995,1995 FIFA Women's World Cup,T-74,Sweden,SWE,quarter-finals,100
18,WC-1998,1998 FIFA Men's World Cup,T-30,France,FRA,champions,8
19,WC-1999,1999 FIFA Women's World Cup,T-83,United States,USA,champions,100
20,WC-2002,2002 FIFA Men's World Cup,T-44,Japan,JPN,round of 16,0
21,WC-2002,2002 FIFA Men's World Cup,T-71,South Korea,KOR,fourth place,4
22,WC-2003,2003 FIFA Women's World Cup,T-83,United States,USA,third place,100
23,WC-2006,2006 FIFA Men's World Cup,T-31,Germany,DEU,third place,4
24,WC-2007,2007 FIFA Women's World Cup,T-14,China,CHN,quarter-finals,100
25,WC-2010,2010 FIFA Men's World Cup,T-70,South Africa,ZAF,group stage,-2
26,WC-2011,2011 FIFA Women's World Cup,T-31,Germany,DEU,quarter-finals,100
27,WC-2014,2014 FIFA Men's World Cup,T-09,Brazil,BRA,fourth place,4
28,WC-2015,2015 FIFA Women's World Cup,T-12,Canada,CAN,quarter-finals,100
29,WC-2018,2018 FIFA Men's World Cup,T-62,Russia,RUS,quater-finals,2
30,WC-2019,2019 FIFA Women's World Cup,T-30,France,FRA,quarter-finals,100
31,WC-2022,2022 FIFA Men's World Cup,T-59,Qatar,QAT,group stage,-2
